Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
hanwq	puM	hiMsiMcuvAdu	puM:puM:puM																						
hara	napuM:puM:puM	Sivudu^hariMcuvAdu	puM:puM:puM																						
hari	puM	hari	puM																						
harRa	puM	harRamu	napuM																						
harRaNa	puM:napuM	harRaM	napuM:napuM																						
haswa	puM	haswamu	napuM																						
haswin	puM	woVMdamu_kalaxi^enugu	napuM																						
havis	napuM	havis^homa_xravyamu	napuM																						
haya	puM	hayamu^gurramu	napuM																						
hewu	puM	hewuvu^kAraNamu	napuM																						
hEwuka	napuM:puM	hewuvAxamu_kalavAdu	puM:puM																						
hEwuka	napuM:puM	hewuvAxi	puM:puM																						
himAlaya	puM	himAlayamu	napuM																						
hiMsA	swrI	hiMsa	napuM																						
hqRIkeSa	puM	hqRIkeSudu^viRNuvu	puM																						
hqw	puM:napuM	hariMcunaxi	napuM:napuM																						
hqx	napuM	manassu^hqxayamu^CAwi	napuM																						
hqxaya	napuM:puM	hqxayamu	napuM:napuM																						
hqxya	napuM	manassuku_hiwamEnaxi	napuM																						
hrI	swrI	siggu^lajja	napuM																						
huwASa	puM	agni	napuM																						
icCA	swrI	icCa^iRtamu^korika	napuM																						
samuwWa	puM:napuM	uxBaviMcadaM^pEki_leVgavadaM	napuM:napuM																						
ijya	puM:napuM	guruvu^xevawa^pUja	puM:puM																						
ijyA	swrI	yAgamu^xAnamu	napuM																						
IkRaNa	puM	cUpu^xqRti	napuM																						
ikRvAku	puM	ikRvAku_vaMSaM	napuM																						
inxriya	napuM	inxriyamulu^wvagAxi_inxriyamulu	napuM																						
inxriyArWa	puM	inxriya_viSayamu	napuM																						
Xuk	puM	piMdadaM	napuM																						
iRu	puM	bANamu	napuM																						
iRvAsa	puM	vilukAdu	puM																						
iRvAsa	puM	villu^Xanussu	napuM																						
ISa	puM	ISa^ISvarudu^sqRtikarwa	puM																						
ISvara	puM	Isvarudu	puM																						
iwara	puM	iwara	napuM																						
IxqS	napuM:puM:swrI	I_viXaMga	napuM:napuM:napuM																						
jafgama	puM	jIviwa^wirugunaxi	napuM																						
jaGanya	napuM:puM	civarixi^nIcudu^aXamudu	napuM:puM																						
jagaw	napuM:puM	jagawwu^lokaM^prapaMcaM	napuM																						
jAhnavI	swrI	jAhnavI^gaMga	swrI																						
jAla	napuM	jAlaM	napuM																						
jana	puM	janaM	puM																						
janaka	puM	janakudu	puM																						
janArxana	puM	janArxanudu^viRNuvu	puM																						
janman	napuM	uwpawwi^puttuka^uxBavamu	napuM																						
